callsign,airline,runway,atot,sid,sid_family,aircraft_type,wake,engine_class,track_start_time,track_end_time,start_from_thr_time,sep_is_first_departure_for_runway,thr_sid,thr_aircraft_type,thr_atot,thr_passes_thr_filter,thr_cross_time,thr_cross_lat,thr_cross_lon,thr_cross_alt_ft,thr_cross_ias_kt,thr_cross_heading_deg,thr_min_dist_thr_nm,thr_turned_before_thr,thr_turn_start_time,sep_leader,sep_atot_leader,sep_atot_follower,sep_leader_sid,sep_follower_sid,sep_leader_sid_family,sep_follower_sid_family,sep_leader_aircraft_type,sep_follower_aircraft_type,sep_leader_wake,sep_follower_wake,sep_leader_class,sep_follower_class,sep_same_sid_family,sep_radar_twr_time,sep_radar_tma_min_time,sep_twr_computable,sep_tma_computable,sep_computation_note,sep_radar_twr_nm,sep_radar_twr_dalt_ft,sep_radar_twr_loss,sep_radar_tma_min_nm,sep_radar_tma_dalt_ft,sep_radar_tma_loss,sep_wake_twr_required_nm,sep_wake_twr_required_s,sep_wake_twr_actual_nm,sep_wake_twr_actual_s,sep_wake_twr_loss,sep_wake_tma_required_nm,sep_wake_tma_actual_nm,sep_wake_tma_loss,sep_loa_required_nm,sep_loa_actual_nm,sep_loa_loss,turn_sid,turn_aircraft_type,turn_atot,turn_turn_start_time,turn_turn_start_lat,turn_turn_start_lon,turn_turn_start_x_m,turn_turn_start_y_m,turn_turn_start_alt_ft,turn_turn_start_ias_kt,turn_turn_start_roll_angle_deg,turn_turn_start_heading_deg,turn_turn_start_tta_deg,turn_turn_start_dist_thr_nm,turn_detection_method,turn_crosses_r234,turn_r234_cross_lat,turn_r234_cross_lon,nadp_sid,nadp_aircraft_type,nadp_wake,nadp_atot,nadp_ias_at_800ft,nadp_alt_at_800ft,nadp_ias_at_3000ft,nadp_alt_at_3000ft,nadp_delta_ias_kt,nadp_nadp,nadp_threshold_kt,nadp_time_at_800ft,nadp_time_at_3000ft
RYR82GJ,RYR,06R,2026-05-23T03:58:38,SENIA1R,MISMA_SID_G2,B738,M,R,2026-05-23T04:00:04,2026-05-23T04:01:27,2026-05-23T04:00:05,True,SENIA1R,B738,2026-05-23T03:58:38,False,,,,,,,4.172440502794409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RYR1FB,RYR,06R,2026-05-23T04:01:39,DALIN1R,MISMA_SID_G3,B38M,M,R,2026-05-23T04:01:25,2026-05-23T04:05:02,2026-05-23T04:01:26,False,DALIN1R,B38M,2026-05-23T04:01:39,True,2026-05-23T04:01:48.049913858,41.292064053550774,2.103329157292606,239.3089718648847,165.85025842549516,63.98467759237713,0.009583900393162292,,,RYR82GJ,2026-05-23T03:58:38,2026-05-23T04:01:39,SENIA1R,DALIN1R,MISMA_SID_G2,MISMA_SID_G3,B738,B38M,M,M,R,R,False,2026-05-23T04:01:26,2026-05-23T04:01:25,True,True,,10.722926162489392,5799.6965333333355,False,10.680766083004064,5751.6965333333355,False,,,10.722926162489392,81.0,,,10.680766083004064,,3.0,10.722926162489392,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VLG6152,VLG,06R,2026-05-23T04:04:04,LARPA1R,MISMA_SID_G2,A320,M,R,2026-05-23T04:03:49,2026-05-23T04:06:59,2026-05-23T04:03:52,False,LARPA1R,A320,2026-05-23T04:04:04,True,2026-05-23T04:04:13.856012505,41.292235749949185,2.1032754126111297,394.8429202470173,156.0,59.765625,0.0010061056082408988,,,RYR1FB,2026-05-23T04:01:39,2026-05-23T04:04:04,DALIN1R,LARPA1R,MISMA_SID_G3,MISMA_SID_G2,B38M,A320,M,M,R,R,False,2026-05-23T04:03:52,2026-05-23T04:03:49,True,True,,7.948733132875437,3763.057600000001,False,7.836956061281536,3725.4522666666667,False,,,7.948733132875437,146.0,,,7.836956061281536,,3.0,7.948733132875437,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VLG9YD,VLG,06R,2026-05-23T04:05:55,DALIN1R,MISMA_SID_G3,A320,M,R,2026-05-23T04:05:37,2026-05-23T04:08:14,2026-05-23T04:05:44,False,DALIN1R,A320,2026-05-23T04:05:55,True,2026-05-23T04:06:04.278742115,41.29226368610281,2.1032663226541226,722.2736203363405,166.0,62.050781,0.002732787389024123,,,VLG6152,2026-05-23T04:04:04,2026-05-23T04:05:55,LARPA1R,DALIN1R,MISMA_SID_G2,MISMA_SID_G3,A320,A320,M,M,R,R,False,2026-05-23T04:05:44,2026-05-23T04:05:37,True,True,,5.592701460417363,3056.9989333333333,False,5.395127249777484,2790.2346666666667,False,,,5.592701460417363,112.0,,,5.395127249777484,,3.0,5.592701460417363,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RYR28RR,RYR,06R,2026-05-23T04:07:45,DIPES1R,MISMA_SID_G3,B738,M,R,2026-05-23T04:07:29,2026-05-23T04:11:06,2026-05-23T04:07:31,False,DIPES1R,B738,2026-05-23T04:07:45,True,2026-05-23T04:07:53.290367395,41.2919825375667,2.103358640161176,349.4473647636407,157.0,62.050781,0.01465368002992985,,,VLG9YD,2026-05-23T04:05:55,2026-05-23T04:07:45,DALIN1R,DIPES1R,MISMA_SID_G3,MISMA_SID_G3,A320,B738,M,M,R,R,True,2026-05-23T04:07:31,2026-05-23T04:07:29,True,True,,5.851044604360811,4095.1525333333316,False,5.782409946130649,4003.9023999999986,False,,,5.851044604360811,107.0,,,5.782409946130649,,5.0,5.851044604360811,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RYR91MD,RYR,06R,2026-05-23T04:09:26,LOTOS1R,MISMA_SID_G2,B738,M,R,2026-05-23T04:09:09,2026-05-23T04:12:14,2026-05-23T04:09:11,False,LOTOS1R,B738,2026-05-23T04:09:26,True,2026-05-23T04:09:31.888973518,41.292096621923584,2.103320186032558,237.93501828360255,168.22205296219826,61.11319218627101,0.007587939391412578,,,RYR28RR,2026-05-23T04:07:45,2026-05-23T04:09:26,DIPES1R,LOTOS1R,MISMA_SID_G3,MISMA_SID_G2,B738,B738,M,M,R,R,False,2026-05-23T04:09:11,2026-05-23T04:09:09,True,True,,4.892252010187293,2557.296,False,4.833151176948901,2476.9392,False,,,4.892252010187293,100.0,,,4.833151176948901,,3.0,4.892252010187293,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RYR699N,RYR,06R,2026-05-23T04:10:56,NATPI1R,MISMA_SID_G1,B738,M,R,2026-05-23T04:10:41,2026-05-23T04:13:30,2026-05-23T04:10:44,False,NATPI1R,B738,2026-05-23T04:10:56,True,2026-05-23T04:11:05.170886767,41.29195951874006,2.1033604705216606,354.9523765545916,166.0,62.050781,0.016017048219625952,,,RYR91MD,2026-05-23T04:09:26,2026-05-23T04:10:56,LOTOS1R,NATPI1R,MISMA_SID_G2,MISMA_SID_G1,B738,B738,M,M,R,R,False,2026-05-23T04:10:44,2026-05-23T04:10:41,True,True,,4.785188530322223,2285.544,False,4.684119578796913,2141.7039999999997,False,,,4.785188530322223,93.0,,,4.684119578796913,,3.0,4.785188530322223,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VLG53PC,VLG,06R,2026-05-23T04:12:16,DIPES1R,MISMA_SID_G3,A320,M,R,2026-05-23T04:11:56,2026-05-23T04:14:58,2026-05-23T04:12:02,False,DIPES1R,A320,2026-05-23T04:12:16,True,2026-05-23T04:12:23.139673431,41.29202577257077,2.103342188482185,402.8950159381556,161.86032656880832,61.045197870816615,0.011955930377228544,,,RYR699N,2026-05-23T04:10:56,2026-05-23T04:12:16,NATPI1R,DIPES1R,MISMA_SID_G1,MISMA_SID_G3,B738,A320,M,M,R,R,False,2026-05-23T04:12:02,2026-05-23T04:11:56,True,True,,3.826856572191812,1956.0192000000013,False,3.6474810882910034,1830.4448000000014,False,,,3.826856572191812,78.0,,,3.6474810882910034,,3.0,3.826856572191812,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWR7YT,SWR,06R,2026-05-23T04:13:57,DALIN1R,MISMA_SID_G3,A320,M,R,2026-05-23T04:13:36,2026-05-23T04:16:30,2026-05-23T04:13:41,False,DALIN1R,A320,2026-05-23T04:13:57,True,2026-05-23T04:14:02.273818130,41.29193143061235,2.10337412246283,636.6432702465022,152.0,60.46875,0.01780018304689729,,,VLG53PC,2026-05-23T04:12:16,2026-05-23T04:13:57,DIPES1R,DALIN1R,MISMA_SID_G3,MISMA_SID_G3,A320,A320,M,M,R,R,True,2026-05-23T04:13:41,2026-05-23T04:13:36,True,True,,4.983036375701694,2597.210666666667,False,4.8259502717466445,2303.6149333333333,False,,,4.983036375701694,99.0,,,4.8259502717466445,,5.0,4.983036375701694,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RYR32FE,RYR,06R,2026-05-23T04:15:37,AGENA1R,MISMA_SID_G3,B738,M,R,2026-05-23T04:15:16,2026-05-23T04:18:18,2026-05-23T04:15:22,False,AGENA1R,B738,2026-05-23T04:15:37,True,2026-05-23T04:15:43.779856058,41.291995580937304,2.1033497628598536,323.8086534067149,158.1194242336954,61.62182453546767,0.013798702479409425,,,SWR7YT,2026-05-23T04:13:57,2026-05-23T04:15:37,DALIN1R,AGENA1R,MISMA_SID_G3,MISMA_SID_G3,A320,B738,M,M,R,R,True,2026-05-23T04:15:22,2026-05-23T04:15:16,True,True,,5.065940158672387,3299.9407999999985,False,4.854603658631676,3013.277333333332,False,,,5.065940158672387,101.0,,,4.854603658631676,,5.0,5.065940158672387,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
